Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
322,0,-0.25,-0.0625,-0.1855469,0.05615234,0.9897461,0.06835938,-0.1152344,-0.2177734
324,0,-0.25,-0.1875,-0.1855469,0.06787109,0.9858398,0.06835938,-0.1166992,-0.2133789
325,0,-0.6875,-0.5625,-0.1738281,0.05615234,0.9936523,0.06835938,-0.1166992,-0.2133789
327,-0.25,0.3125,-0.375,-0.2084961,0.06787109,0.9936523,0.06689453,-0.1166992,-0.2192383
328,-0.1875,-0.5625,-0.375,-0.1894531,0.05224609,0.9741211,0.06835938,-0.1152344,-0.2148438
330,0,-0.375,-0.25,-0.1816406,0.05224609,0.9936523,0.06835938,-0.1152344,-0.2148438
331,0.3125,-0.5,-0.0625,-0.1967773,0.05615234,1.012695,0.06835938,-0.1152344,-0.2177734
333,0.0625,-0.625,-0.3125,-0.1777344,0.06005859,0.9741211,0.07080078,-0.1166992,-0.2148438
334,0.1875,-0.1875,-0.125,-0.1894531,0.05224609,0.9897461,0.07080078,-0.1166992,-0.2148438
336,0,-0.25,-0.3125,-0.1928711,0.06396484,0.9975586,0.06689453,-0.1137695,-0.2148438
337,0.4375,-0.5625,-0.375,-0.1967773,0.04833984,0.9897461,0.06835938,-0.1137695,-0.2163086
339,0.1875,-1,-0.125,-0.1928711,0.07177734,0.9897461,0.06835938,-0.1137695,-0.2163086
340,0.25,-0.5,0,-0.1738281,0.05615234,0.9780273,0.06835938,-0.1137695,-0.2163086
342,0.3125,-0.125,-0.0625,-0.1894531,0.05615234,0.9975586,0.06689453,-0.1152344,-0.2163086
343,0.25,-0.375,-0.0625,-0.1928711,0.06005859,0.9897461,0.06689453,-0.1152344,-0.2163086
345,0.375,-0.5625,-0.0625,-0.1928711,0.05224609,0.9936523,0.06835938,-0.1166992,-0.2163086
346,0.6875,-0.8125,0.1875,-0.2006836,0.06005859,1.001465,0.06835938,-0.1152344,-0.2163086
348,0.5,-0.625,0,-0.1777344,0.06005859,0.9819336,0.06835938,-0.1152344,-0.2163086
349,0.625,-0.5,0.1875,-0.1894531,0.06005859,0.9936523,0.06835938,-0.1181641,-0.2148438
351,0.8125,-0.6875,0.0625,-0.1928711,0.05615234,0.9897461,0.06835938,-0.1152344,-0.2148438
352,1.125,-0.625,0.25,-0.1855469,0.06005859,0.9858398,0.06835938,-0.1152344,-0.2148438
354,1.0625,-0.75,0.125,-0.1894531,0.05615234,0.9936523,0.06689453,-0.1166992,-0.2177734
355,0.875,-0.6875,0.3125,-0.1816406,0.06005859,0.9819336,0.06982422,-0.1152344,-0.2177734
357,1.1875,-0.625,0.5625,-0.1855469,0.05224609,0.9975586,0.06982422,-0.1152344,-0.2177734
358,1.1875,-1.125,0.5,-0.2006836,0.05224609,0.9858398,0.06835938,-0.1166992,-0.2163086
360,1.5,-0.875,0.4375,-0.1816406,0.05615234,0.9897461,0.06835938,-0.1166992,-0.2163086
361,1.625,-1.3125,0.625,-0.1967773,0.05615234,0.9975586,0.06835938,-0.1166992,-0.2163086
363,1.3125,-1.3125,0.5,-0.1777344,0.06396484,0.9741211,0.06689453,-0.1152344,-0.2148438
364,1.25,-0.875,0.75,-0.1738281,0.05615234,0.9897461,0.06835938,-0.1137695,-0.2177734
366,1.375,-0.6875,0.6875,-0.1816406,0.06396484,0.9897461,0.06835938,-0.1137695,-0.2177734
367,1.6875,-0.6875,0.625,-0.1855469,0.04833984,0.9897461,0.06835938,-0.1152344,-0.2163086
369,1.4375,-0.5,0.75,-0.1855469,0.06396484,0.9936523,0.06689453,-0.1152344,-0.2148438
370,1.3125,-0.25,0.6875,-0.1738281,0.06005859,0.9819336,0.06689453,-0.1152344,-0.2148438
372,1.25,-0.0625,0.6875,-0.1855469,0.06005859,0.9897461,0.06835938,-0.1152344,-0.2133789
373,1.1875,-0.1875,0.5,-0.1777344,0.07177734,0.9819336,0.06689453,-0.1152344,-0.2148438
375,1.25,-0.125,0.5,-0.1855469,0.06005859,0.9819336,0.06689453,-0.1152344,-0.2148438
376,0.9375,-0.125,0.5,-0.1894531,0.06396484,0.9897461,0.06835938,-0.1166992,-0.2177734
378,1,-0.25,0.375,-0.1855469,0.05615234,0.9936523,0.06982422,-0.1137695,-0.2148438
379,1.125,-0.3125,0.4375,-0.1777344,0.06005859,0.9780273,0.06982422,-0.1137695,-0.2148438
381,1.0625,-0.125,0.5,-0.1855469,0.06396484,0.9780273,0.06689453,-0.1152344,-0.2148438
382,0.875,-0.0625,0.125,-0.1816406,0.06396484,0.9858398,0.06835938,-0.1152344,-0.2163086
384,0.625,-0.0625,0.1875,-0.1894531,0.07177734,0.9819336,0.06835938,-0.1152344,-0.2163086
385,0.5,0,0.1875,-0.1816406,0.06787109,0.9819336,0.06982422,-0.1166992,-0.2177734
387,0,0,-0.0625,-0.1816406,0.06787109,0.9780273,0.06835938,-0.1166992,-0.2163086
388,-0.0625,0.1875,-0.125,-0.1816406,0.07177734,0.9897461,0.06835938,-0.1166992,-0.2163086
390,-0.25,0.4375,-0.1875,-0.1894531,0.06396484,0.9858398,0.06835938,-0.1152344,-0.2177734
391,-0.125,0.3125,-0.1875,-0.1894531,0.06787109,0.9858398,0.06689453,-0.1166992,-0.2163086
393,-0.25,0.25,-0.3125,-0.1894531,0.06005859,0.9819336,0.06689453,-0.1166992,-0.2163086
394,-0.25,0.5625,0,-0.1855469,0.05615234,0.9897461,0.06835938,-0.1166992,-0.2148438
396,-0.0625,0.25,-0.3125,-0.1894531,0.05224609,0.9936523,0.06835938,-0.1166992,-0.2148438
397,0.0625,0.125,-0.3125,-0.1894531,0.05615234,0.9936523,0.06835938,-0.1166992,-0.2148438
399,0.125,0.375,-0.0625,-0.1855469,0.05615234,0.9819336,0.06835938,-0.1152344,-0.2163086
400,0.375,0.0625,0.0625,-0.1894531,0.05615234,0.9897461,0.06689453,-0.1181641,-0.2177734
402,0.625,-0.0625,0.125,-0.1894531,0.05615234,0.9819336,0.06689453,-0.1181641,-0.2177734
403,0.5625,-0.0625,0.375,-0.1816406,0.05224609,0.9858398,0.06835938,-0.1166992,-0.2148438
405,1,-0.0625,0.625,-0.1928711,0.05224609,1.001465,0.06689453,-0.1166992,-0.2148438
407,1.3125,-0.125,0.625,-0.1855469,0.05615234,0.9897461,0.06689453,-0.1166992,-0.2148438
409,1.5,-0.4375,0.5,-0.1894531,0.06396484,0.9819336,0.06835938,-0.1152344,-0.2177734
410,1.4375,-0.375,0.6875,-0.1855469,0.05615234,0.9897461,0.06689453,-0.1137695,-0.2163086
412,1.5,-0.3125,0.5625,-0.1894531,0.06787109,0.9858398,0.06689453,-0.1137695,-0.2163086
